iter	Passed	Remaining
468	753	853
469	755	851
470	756	849
471	758	848
472	759	846
473	761	844
474	762	842
475	764	841
476	766	840
477	768	838
478	769	837
479	771	835
480	772	834
481	774	832
482	776	831
483	778	830
484	780	828
485	783	828
486	784	826
487	786	825
488	788	823
489	789	822
490	792	821
491	793	819
492	795	818
493	797	816
494	799	815
495	800	813
496	802	811
497	804	810
498	805	809
499	807	807
500	809	806
501	811	804
502	813	803
503	814	801
504	816	800
505	818	798
506	819	797
507	821	795
508	823	794
509	824	792
510	826	791
511	828	789
512	830	788
513	832	786
514	833	785
515	835	783
516	837	782
517	839	781
518	841	779
519	843	778
520	844	776
521	846	775
522	848	773
523	850	772
524	851	770
525	853	769
526	855	767
527	857	766
528	859	764
529	860	763
530	862	761
531	864	760
532	866	758
533	867	757
534	870	756
535	871	754
536	873	753
537	875	751
538	877	750
539	879	748
540	880	747
541	882	745
542	884	744
543	886	742
544	887	741
545	889	739
546	891	738
547	893	736
548	895	735
549	896	733
550	898	732
551	900	730
552	901	728
553	903	727
554	904	725
555	906	723
556	908	722
557	909	720
558	911	718
559	912	717
560	914	715
561	915	713
562	917	712
563	919	710
564	920	709
565	922	707
566	923	705
567	925	703
568	927	702
569	928	700
570	930	698
571	931	697
572	933	695
573	935	694
574	936	692
575	938	690
576	940	689
577	941	687
578	943	685
579	944	684
580	946	682
581	947	680
582	949	678
583	950	677
584	952	675
585	954	674
586	956	672
587	957	671
588	959	669
589	961	668
590	963	666
591	965	665
592	967	663
593	968	662
594	970	660
595	972	658
596	973	657
597	975	655
598	976	654
599	978	652
600	980	650
601	982	649
602	983	647
603	985	646
604	987	644
605	988	642
606	990	641
607	991	639
608	993	637
609	994	636
610	996	634
611	998	632
612	999	631
613	1001	629
614	1002	627
615	1004	625
616	1005	624
617	1007	622
618	1008	620
619	1010	619
620	1012	617
621	1013	615
622	1015	614
623	1016	612
624	1018	610
625	1019	609
626	1021	607
627	1022	605
628	1024	604
629	1025	602
630	1027	600
631	1029	599
632	1030	597
633	1032	596
634	1034	594
635	1035	592
636	1037	590
637	1038	589
638	1040	587
